时间,方向,类型,张数,价格,手续费,盈亏,原因
2025-03-30 01:27:00,多,多单减仓,20,82151.20,8.2151,-517.68,"🟢【多单做T已正式启动-0】 💹 当前价格：82151.20 ✅ 已平第4层补仓 🎯 第4层开仓价：81938.5 📦 已平数量：20 张 💵 第4层盈利：212.70 点 ---------- 📊 剩余仓位数量：49.99999999999999 ⚖️ 当前均价：84698.54 🧮 剩余修正后均价：85802.56 ---------- 📉 当前均价单张盈利：-2547.34 点 📉 修正后均价单张盈利：-3651.36 点 ---------- 💰 本轮做T累计盈利：38.29USDT 📉 已平仓累计亏损：514.56 USDT  📉 本轮做T次数：1 ⏰ 平仓时间：2025-03-30 01:27:00 ===============  WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 3338.16 boll45缩口 6035.80  ema15 83007.80 ema30 83712.31 ema60 84677.35 ema120 85383.34 boll20-up 85102.86 boll20-down81764.70 boll45-up 87564.96 boll45-dowm81529.16 atr 178.51 , boll宽度 0.012410  suokou_first:False , suokou_second: False   EMA进入boll45停机：False=============== 📋 剩余持仓情况： 🔹 第一枪开仓价：86800.1，数量：10，盈利：-4648.90点  - 补仓第1层（第2枪）：价格: 86193.30, 数量: 20.00 张,盈利：-4042.10点  - 补仓第2层（第3枪）：价格: 85398.30, 数量: 10.00 张,盈利：-3247.10点  - 补仓第3层（第4枪）：价格: 84427.80, 数量: 10.00 张,盈利：-2276.60点 "
2025-03-30 21:32:00,多,补仓开多,20,82669.30,8.2669,0.00,"✅【第三套补仓逻辑——稳健策略】 ✅【多仓加仓 第4次】 📉 当前价格: 82669.3 💰 当前均价: 84118.76 📦 加仓数量: 20 📦 总持仓量: 70.0 🔻 当前亏损比例: 2.40% ⏰ 时间: 2025-03-30 21:32:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1313.80 boll45缩口 2710.74  ema15 83039.03 ema30 83189.28 ema60 83846.89 ema120 84694.22 boll20-up 83589.39 boll20-down82275.59 boll45-up 84619.36 boll45-dowm81908.62 atr 130.49 , boll宽度 0.004799  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-30 21:34:00,多,多单减仓,20,82773.90,8.2774,-277.25,"🟢【多单做T已正式启动-0】 💹 当前价格：82773.90 ✅ 已平第4层补仓 🎯 第4层开仓价：82669.3 📦 已平数量：20 张 💵 第4层盈利：104.60 点 ---------- 📊 剩余仓位数量：49.99999999999999 ⚖️ 当前均价：84118.76 🧮 剩余修正后均价：85802.56 ---------- 📉 当前均价单张盈利：-1344.86 点 📉 修正后均价单张盈利：-3028.66 点 ---------- 💰 本轮做T累计盈利：57.11USDT 📉 已平仓累计亏损：786.22 USDT  📉 本轮做T次数：2 ⏰ 平仓时间：2025-03-30 21:34:00 ===============  WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1313.80 boll45缩口 2710.74  ema15 83039.03 ema30 83189.28 ema60 83846.89 ema120 84694.22 boll20-up 83589.39 boll20-down82275.59 boll45-up 84619.36 boll45-dowm81908.62 atr 130.49 , boll宽度 0.004799  suokou_first:False , suokou_second: False   EMA进入boll45停机：False=============== 📋 剩余持仓情况： 🔹 第一枪开仓价：86800.1，数量：10，盈利：-4026.20点  - 补仓第1层（第2枪）：价格: 86193.30, 数量: 20.00 张,盈利：-3419.40点  - 补仓第2层（第3枪）：价格: 85398.30, 数量: 10.00 张,盈利：-2624.40点  - 补仓第3层（第4枪）：价格: 84427.80, 数量: 10.00 张,盈利：-1653.90点 "
2025-03-31 00:32:00,多,补仓开多,20,82434.80,8.2435,0.00,"✅【第三套补仓逻辑——稳健策略】 ✅【多仓加仓 第4次】 📉 当前价格: 82434.8 💰 当前均价: 83637.63 📦 加仓数量: 20 📦 总持仓量: 70.0 🔻 当前亏损比例: 2.00% ⏰ 时间: 2025-03-31 00:32:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1289.08 boll45缩口 2701.86  ema15 82890.43 ema30 83082.52 ema60 83728.83 ema120 84592.53 boll20-up 83586.62 boll20-down82297.54 boll45-up 84529.14 boll45-dowm81827.28 atr 117.53 , boll宽度 0.005866  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-31 02:08:00,多,多单减仓,20,82610.60,8.2611,-213.67,"🟢【多单做T已正式启动-0】 💹 当前价格：82610.60 ✅ 已平第4层补仓 🎯 第4层开仓价：82434.8 📦 已平数量：20 张 💵 第4层盈利：175.80 点 ---------- 📊 剩余仓位数量：49.99999999999999 ⚖️ 当前均价：83637.63 🧮 剩余修正后均价：85802.56 ---------- 📉 当前均价单张盈利：-1027.03 点 📉 修正后均价单张盈利：-3191.96 点 ---------- 💰 本轮做T累计盈利：88.76USDT 📉 已平仓累计亏损：993.68 USDT  📉 本轮做T次数：3 ⏰ 平仓时间：2025-03-31 02:08:00 ===============  WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1241.46 boll45缩口 2664.53  ema15 82819.12 ema30 83019.89 ema60 83654.63 ema120 84526.46 boll20-up 83573.64 boll20-down82332.18 boll45-up 84450.34 boll45-dowm81785.81 atr 137.93 , boll宽度 0.005982  suokou_first:False , suokou_second: False   EMA进入boll45停机：False=============== 📋 剩余持仓情况： 🔹 第一枪开仓价：86800.1，数量：10，盈利：-4189.50点  - 补仓第1层（第2枪）：价格: 86193.30, 数量: 20.00 张,盈利：-3582.70点  - 补仓第2层（第3枪）：价格: 85398.30, 数量: 10.00 张,盈利：-2787.70点  - 补仓第3层（第4枪）：价格: 84427.80, 数量: 10.00 张,盈利：-1817.20点 "
2025-03-31 06:07:00,多,补仓开多,20,81682.30,8.1682,0.00,"✅【第三套补仓逻辑——稳健策略】 ✅【多仓加仓 第4次】 📉 当前价格: 81682.3 💰 当前均价: 83078.96 📦 加仓数量: 20 📦 总持仓量: 70.0 🔻 当前亏损比例: 2.34% ⏰ 时间: 2025-03-31 06:07:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1449.58 boll45缩口 2212.83  ema15 82659.28 ema30 82883.65 ema60 83503.08 ema120 84392.02 boll20-up 83579.63 boll20-down82130.05 boll45-up 84050.66 boll45-dowm81837.83 atr 153.40 , boll宽度 0.013429  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-31 06:13:00,多,多单减仓,20,81832.90,8.1833,-257.40,"🟢【多单做T已正式启动-0】 💹 当前价格：81832.90 ✅ 已平第4层补仓 🎯 第4层开仓价：81682.3 📦 已平数量：20 张 💵 第4层盈利：150.60 点 ---------- 📊 剩余仓位数量：49.99999999999999 ⚖️ 当前均价：83078.96 🧮 剩余修正后均价：85802.56 ---------- 📉 当前均价单张盈利：-1246.06 点 📉 修正后均价单张盈利：-3969.66 点 ---------- 💰 本轮做T累计盈利：115.87USDT 📉 已平仓累计亏损：1245.39 USDT  📉 本轮做T次数：4 ⏰ 平仓时间：2025-03-31 06:13:00 ===============  WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1449.58 boll45缩口 2212.83  ema15 82659.28 ema30 82883.65 ema60 83503.08 ema120 84392.02 boll20-up 83579.63 boll20-down82130.05 boll45-up 84050.66 boll45-dowm81837.83 atr 161.36 , boll宽度 0.014457  suokou_first:False , suokou_second: False   EMA进入boll45停机：False=============== 📋 剩余持仓情况： 🔹 第一枪开仓价：86800.1，数量：10，盈利：-4967.20点  - 补仓第1层（第2枪）：价格: 86193.30, 数量: 20.00 张,盈利：-4360.40点  - 补仓第2层（第3枪）：价格: 85398.30, 数量: 10.00 张,盈利：-3565.40点  - 补仓第3层（第4枪）：价格: 84427.80, 数量: 10.00 张,盈利：-2594.90点 "
2025-03-31 06:35:00,空,首次开空,10,82480.60,4.1240,0.00,"✅【首次开空】 📉 当前价格: 82480.6 💰 开仓均价: 82480.6 📦 开仓数量: 10 ⏰ 时间: 2025-03-31 06:35:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1449.58 boll45缩口 2212.83  ema15 82659.28 ema30 82883.65 ema60 83503.08 ema120 84392.02 boll20-up 83579.63 boll20-down82130.05 boll45-up 84050.66 boll45-dowm81837.83 atr 244.50 , boll宽度 0.015001  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-31 07:04:00,空,空单全平,10,82240.10,4.1120,19.94,"✅【平空已执行】 💰 持仓均价: 82480.6 ✂️ 平仓价格: 82240.1 📦 平仓数量: 10.0 📝 平仓原因: 1分钟超卖且盈利大于200|单张盈利:240.50 ⏰ 时间: 2025-03-31 07:04:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1487.33 boll45缩口 2165.24  ema15 82627.29 ema30 82852.66 ema60 83467.02 ema120 84359.15 boll20-up 83564.82 boll20-down82077.49 boll45-up 83994.73 boll45-dowm81829.49 atr 250.92 , boll宽度 0.013274  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-31 08:00:00,空,首次开空,10,82461.20,4.1231,0.00,"✅【首次开空】 📉 当前价格: 82461.2 💰 开仓均价: 82461.2 📦 开仓数量: 10 ⏰ 时间: 2025-03-31 08:00:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1790.85 boll45缩口 2156.06  ema15 82505.38 ema30 82775.20 ema60 83407.52 ema120 84314.41 boll20-up 83643.98 boll20-down81853.13 boll45-up 83934.41 boll45-dowm81778.35 atr 170.82 , boll宽度 0.008234  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
